Bundle,Inventory ID,Manufacturer,Supplier,Offer URL,Offer Date,Price,Amount,Units,Price per Unit,Days of Supply,Days Remaining after expiry,Amount Wasted,Effective Price Per Unit,,
,,,,,,,,,,,,,,,
,1,Taylor R-0001 reagent,amazon.ca,https://a.co/d/95Gm2GP,"August 30, 2025",20.27,22,ml,$0.921,229.0,-136.0,,$0.921,,
,2,Taylor R-0002 reagent,amazon.ca,https://a.co/d/dZyCs1S,"August 30, 2025",28.09,22,ml,$1.277,229.0,-136.0,,$1.277,,
,1,Taylor R-0001 reagent,amazon.ca,https://a.co/d/3jq0Yug,"August 30, 2025",21.62,60,ml,$0.360,624.5,259.5,24.9,$0.62,,
,2,Taylor R-0002 reagent,amazon.ca,https://a.co/d/eA2Iuj6,"August 30, 2025",39.15,60,ml,$0.653,624.5,259.5,24.9,$1.12,,
*,1,Taylor R-0001 reagent,amazon.ca,https://a.co/d/9ZUnBuA,"August 30, 2025",29.07,60,ml,$0.485,624.5,259.5,24.9,$0.83,BEST DEAL,FREE PHENOL RED
*,2,Taylor R-0002 reagent,amazon.ca,https://a.co/d/9ZUnBuA,"August 30, 2025",29.07,60,ml,$0.485,624.5,259.5,24.9,$0.83,BEST DEAL,FREE PHENOL RED
,1,Taylor R-0001 reagent,,https://www.poolsuppliescanada.ca/taylor-dpd-reagent-1-75-oz-dropper-bottle.html,"August 30, 2025",12.99,22,ml,$0.590,,,,,Need $100 for free shipping,
,2,Taylor R-0002 reagent,,,"August 30, 2025",12.99,22,ml,$0.590,,,,,Need $100 for free shipping,
,,,,https://www.poolsuppliescanada.ca/pool-supplies-canada-spa-brominating-tablets-750g.html,"August 30, 2025",34.99,750,g,$0.047,,,,,Need $100 for free shipping,
,,,,https://www.amazon.ca/Pool-Spa-Bromine-Tablets-Kg/dp/B08RP68VQ8/ref=sr_1_1_sspa?crid=ADB2THKV8FI1&dib=eyJ2IjoiMSJ9.w8El0P2q1IktIRZC4cSObysrPsBKg151oegEWLHmdlMhGwfXuMWn8TWLquYH7CTp8v4IqGd-CYfhGV84KaUaRdJ_KY-96HUWQbPLkvzZf_Xa5yzCwNNgn1t1s1dhD6No4IZtB5iI8KAXcH6YpjEjZb0Teatl0aVKKcSNvvbMiRaorQbAT-lK7nFWvpbFq6amrkdhj9_rd4f26RDpwURfAFq5JMsfEKCRvJDeb2IaWvAfJcg6r2rqfBTt51vXqkVZAOpvu-Krgpb9IEQW8uRLUWdd8zCXwUEuAKKqJr3rKHE.8aFDO6KrcCuPUoXFuFtl3RA0Nx3uCSmdbxtVdrQwxPs&dib_tag=se&keywords=bromine%2Btablets%2Bhot%2Btub&qid=1756609521&sprefix=bromine%2Btablets%2Bhot%2Btub%2Caps%2C151&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,74.95,2000,g,$0.037,,,,,,
,,,,https://www.amazon.ca/Bromine-Pool-Spa-Tablets-round/dp/B005ZKN12Y/ref=asc_df_B005ZKN12Y?mcid=c509248109263d09a64b99a54ffb13c0&tag=googleshopc0c-20&linkCode=df0&hvadid=706827225035&hvpos=&hvnetw=g&hvrand=4452996295130043271&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9189360&hvtargid=pla-904436474584&psc=1&hvocijid=4452996295130043271-B005ZKN12Y-&hvexpln=0&gad_source=1,"August 31, 2025",59.99,1500,g,$0.040,,,,,,
,,,,https://www.canadiantire.ca/en/pdp/aquarius-spa-bromine-tablets-400g-0813714p.html?rrecName=Similar%20Items%20&rrecReferrer=product&rrecProductId=0813714P&rrecProductSlot=3&rrecSchemeId=product1_rr&rrec=true,"August 31, 2025",32.99,400,g,$0.082,,,,,,
,,,,https://www.amazon.ca/Brominating-Tablets-Pool-Supplies-Canada/dp/B08SJ6HHZP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8_bIRHoJQPy8ZkxLPuyVJ6XKaeQIzdSWq93ktR3zmlLEUHPLDdh0s3e_H3GtEvW464t_433AGksQYMIILTNrkeVj1Bnwii35wCMOIsWybCzNH8FQFCaRKoMQ1ftlrm3vdAU51JgqY8wugiEql2oWvQiqyGMtgZpAKJiPGR6tPYbqqlZ8-pxBEFEqGWHrS0GUJ-DSH5hV2uBcGH-ERDcwUOsyqXwLmSC9JXKjEy2GIW8qpMpBgUgMof3ifx_xsJNuLTIVQ4v16H3LxzQylQJYzZrNvjohapcOUteKFGaurPk.mRDPWS45q93GZ2W1f8UQtRK-JE2LZht8z6M4UXmnoTk&dib_tag=se&gad_source=1&hvadid=665999466624&hvdev=c&hvexpln=0&hvlocphy=9189360&hvnetw=g&hvocijid=5099980017088082530--&hvqmt=e&hvrand=5099980017088082530&hvtargid=kwd-856811206716&hydadcr=25177_13644736&keywords=aquarius%2Bbromine%2Btablets&mcid=2c0c9d24c8f1374a85f34e51c7b53cd9&qid=1756645286&sr=8-7&th=1,,43.99,750,g,$0.059,,,,,,
,,,,https://www.canadiantire.ca/en/pdp/aquarius-pool-bromine-tablets-7-kg-0813707p.html,,159.99,7000,g,$0.023,,,,,,